"stock";"scenario";"term";"catch";"f";"hr";"ssb";"catch.iyv";"catch.MSY";"ssb.B0";"f.Fmsy";"quotaUpt";"depl.ini";"IAVhist";"RiskBlim.ini";"IAV";"Risk1.Collapse";"Risk1.Blim";"Risk3.Collapse";"Risk3.Blim";"Risk2.Collapse";"Risk2.Blim";"Risk.hrmax";"catch.var";"catch.low";"ucplow";"ucpup";"ICVperc_average";"ICVabsperc_average";"ICVperc_median";"ICVabsperc_median";"IBVperc_average";"IBVabsperc_average";"IBVperc_median";"IBVabsperc_median"
"STK1";"sc001262";"mid";18072.9576897792;0.398030502523493;0.465199496604805;71050.5826844914;1.00458658154968;0.658184295346706;0.710505826844914;0.503836079143663;0.991286008113825;0.678579445883114;0.319702225953113;0.001;0.377512666370794;0.0496;0.0804;0.053;0.086;0.099;0.167;0.1782;142002301.59124;0.086;0.1015625;0.377596439169139;0.0932103409010247;0.456016504190293;0.0678411977032443;0.441386348650909;0.169499683454416;0.448050754042112;0.0191918938505405;0.299300405316656
"STK1";"sc001262";"long";11608.1392336563;0.152152758571303;0.156591182712868;92988.634507793;0.988273266233888;0.422747348438234;0.92988634507793;0.192598428571269;0.999673850705869;0.678579445883114;0.319702225953113;0.001;0.297526098403138;0.0035;0.0076;0.01;0.014;0.018;0.037;0.0374;70787688.713064;0.076;0.0114052953156823;0.253045186640471;0.0774515728864951;0.368323171875547;0.0129068058439351;0.323639448478431;0.0926600648890526;0.326109277769509;-0.0209268842253668;0.23465088781442
"STK1";"sc001263";"short";20485.6241439373;1.59476462956226;2.04221074398801;22621.0176165395;0.983538943720477;0.746049225774489;0.226210176165395;2.01868940450919;0.86163720451502;0.199182326459312;0.440384542469874;0.611;0.616356149828249;0.4044;0.5988;0.464;0.603;0.753;0.945;0.3254;208100727.7803;0.183;0.318958818958819;0.565539983511954;-0.034010544823081;0.553265967366201;-0.169851939886886;0.639477309429454;0.251810553232921;0.737722753489914;-0.00321429782880506;0.573626244295994
"STK1";"sc001263";"mid";12418.7296769265;0.801641221226747;1.12383626288111;34953.7654370072;1.00495459142697;0.452267580205295;0.349537654370072;1.01473572307183;0.942738280692844;0.199182326459312;0.440384542469874;0.611;0.612210479200246;0.344;0.4718;0.432;0.568;0.577;0.747;0.1682;142022299.751462;0.453;0.41608040201005;0.744518272425249;0.181604398033059;0.632907092288246;0.432097735565749;0.767099145107604;0.561799517615318;0.859860473841306;0.300221001561272;0.59491898558192
"STK1";"sc001263";"long";11924.1496418315;0.18937175127798;0.203099194403776;88766.621373831;0.997146534224394;0.434255873572701;0.88766621373831;0.239711077567063;0.998245772399652;0.199182326459312;0.440384542469874;0.611;0.320125029830977;0.0166;0.0302;0.04;0.063;0.067;0.113;0.0095;86837289.6497611;0.159;0.0262204220848433;0.31644377472217;0.10722591597987;0.395748338919225;0.0458302360285219;0.349142021576197;0.1290957783083;0.362504899724692;-0.00450187184949086;0.244850514103574
"STK1";"sc001264";"short";27534.6211388827;1.06947108387401;1.38753541674924;53458.5570757421;1.00750262428828;1.00276089409444;0.534585570757421;1.35376086566331;0.922004595930722;0.516925064370023;0.545424604364652;0.16;0.665390875616459;0.2054;0.3268;0.249;0.357;0.456;0.663;0.3212;468644823.044266;0.155;0.271913465124953;0.539025442000862;-0.0280215595816744;0.550285666069676;-0.146894385850504;0.643822861301863;0.373932448856832;0.870960793588157;-0.0360428687389788;0.556688150744959
"STK1";"sc001264";"mid";15343.4528530294;0.563544404943873;0.785732280355381;67487.9792626277;1.01189930289619;0.558780686459958;0.674879792626277;0.713347348030219;0.958850014621544;0.516925064370023;0.545424604364652;0.16;0.625850466452793;0.1898;0.2722;0.226;0.332;0.325;0.486;0.1548;225260002.654624;0.317;0.306103286384977;0.651219512195122;0.151117196886899;0.585892003441553;0.239490903838508;0.719911410935344;0.56730659159904;0.91755011735336;0.0982534003214032;0.482271173639773
"STK1";"sc001264";"long";8095.12926318706;0.102256103350143;0.114779197159115;117872.565597866;1.02967313069297;0.294809905566507;1.17872565597866;0.12943810550651;0.998515266109738;0.516925064370023;0.545424604364652;0.16;0.423436582638746;0.016;0.0272;0.033;0.053;0.048;0.097;0.0105;76525691.9579988;0.373;0.0269662921348315;0.388638589618022;0.0923448337103207;0.429776809980544;0.0210393669580612;0.400099898834132;0.20782956540087;0.506863632482381;-0.0531791139827831;0.31428450562458
"STK1";"sc001265";"short";26130.7195649529;0.551756780791573;0.637065193775189;80003.9076605673;1.02349968777488;0.95163334850761;0.800039076605673;0.698426304799459;0.981503929239836;0.800214527826239;0.46933543309269;0.016;0.529436590462145;0.0494;0.1118;0.068;0.141;0.134;0.315;0.2832;341033419.01271;0.07;0.107263831388784;0.44131455399061;0.0144790567577558;0.486436834221952;-0.0706485291800701;0.506422609938373;0.260928439332526;0.671824110402173;-0.0583833986885099;0.433831821339813
"STK1";"sc001265";"mid";16159.9541034583;0.381137232835982;0.499875977916846;88838.8626171409;0.96015774649847;0.588516179088659;0.888388626171409;0.482452193463269;0.979619688936147;0.800214527826239;0.46933543309269;0.016;0.524342175741372;0.0778;0.1124;0.095;0.13;0.153;0.227;0.1562;197673913.133154;0.174;0.165371329879102;0.505961251862891;0.102127550050241;0.514001927300105;0.0831680240831676;0.553555175101533;0.341124422248255;0.689223011336204;-0.0031744508963788;0.391067277100159
