"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.02;0.2;0.8;123084.537559954;123084.537559954;97946.4620628837;27441820.2605153;0.00356924071118613;0.02;0.2;0.8;1773.80982207821;0.260109177705169;0.739890822294831;6.4638927200848e-05;0.0144113132099488;0.0181099938141654;1;27489765.5170204;1e+05;0.00363771746027024;0.998255887032742;0.979464620628837;0.981175902243101;85400.9174943082;0.95088600968568;FALSE;FALSE
0.03;0.2;0.8;121898.815906662;121898.815906662;96952.8306920619;27417954.6946549;0.00353610733447462;0.03;0.2;0.8;2627.81899702129;0.260863906883151;0.739136093116849;9.58429987315422e-05;0.0215573791876158;0.0271040977170401;1;27489765.5170204;1e+05;0.00363771746027024;0.997387725176444;0.969528306920619;0.972067614677234;83304.3984041209;0.927542575793053;FALSE;FALSE
0.04;0.2;0.8;120740.281373771;120740.281373771;95980.3599083745;27394160.310942;0.00350367957327158;0.04;0.2;0.8;3460.8629810625;0.261620573068207;0.738379426931793;0.000126335793533344;0.0286636981600931;0.0360580329597256;1;27489765.5170204;1e+05;0.00363771746027024;0.996522152725557;0.959803599083745;0.9631532991601;81276.4789237248;0.904962955816416;FALSE;FALSE
0.05;0.2;0.8;119608.070067172;119608.070067172;95028.3869316519;27370436.9437474;0.00347193532667956;0.05;0.2;0.8;4273.62777029975;0.262379160176462;0.737620839823538;0.000156140283002535;0.0357302627481546;0.0449721173671348;1;27489765.5170204;1e+05;0.00363771746027024;0.995659163654955;0.950283869316519;0.954426880206809;79314.3093308859;0.883115419874128;FALSE;FALSE
0.06;0.2;0.8;118501.354199405;118501.354199405;94096.2764171225;27346784.4286654;0.00344085340865485;0.06;0.2;0.8;5066.7708636086;0.263139652325108;0.736860347674893;0.000185278487744158;0.0427570714093497;0.0538466670152594;1;27489765.5170204;1e+05;0.00363771746027024;0.994798751984023;0.940962764171225;0.945882533823623;77415.1794715571;0.861969792089363;FALSE;FALSE
0.07;0.2;0.8;117419.338676513;117419.338676513;93183.4180287926;27323202.575875;0.00341041346709001;0.07;0.2;0.8;5840.92265832418;0.263902033604162;0.736097966395838;0.000213771524114139;0.0497441283877076;0.0626819962379938;1;27489765.5170204;1e+05;0.00363771746027024;0.993940910807612;0.931834180287926;0.937514665263932;75576.5171864694;0.84149743307117;FALSE;FALSE
0.08;0.2;0.8;116361.26051236;116361.26051236;92289.2258865438;27299691.1881046;0.00338059596537698;0.08;0.2;0.8;6596.68783018887;0.264666288222864;0.735333711777136;0.000241639650233966;0.0566914435366412;0.0714784176248107;1;27489765.5170204;1e+05;0.00363771746027024;0.993085632949536;0.922892258865438;0.929317903959985;73795.8770950826;0.821671115030758;FALSE;FALSE
0.09;0.2;0.8;115326.387007098;115326.387007098;91413.1372082941;27276250.0568223;0.00335138213712885;0.09;0.2;0.8;7334.6466011397;0.26543240047312;0.73456759952688;0.000268902308266717;0.06359903220317;0.0802362420231455;1;27489765.5170204;1e+05;0.00363771746027024;0.992232910823997;0.914131372082941;0.921287091076029;72070.9337828094;0.80246494592548;FALSE;FALSE
0.1;0.2;0.8;114314.014275382;114314.014275382;90554.6111917144;27252878.9626348;0.00332275394888994;0.1;0.2;0.8;8055.35593896779;0.266200354728475;0.733799645271525;0.000295578164421165;0.0704669151024866;0.0889557785402411;1;27489765.5170204;1e+05;0.00363771746027024;0.991382736450081;0.905546111917144;0.913417269257382;70399.4748767943;0.78385429236195;FALSE;FALSE
0.11;0.2;0.8;113323.465859065;113323.465859065;89713.1279600259;27229577.6756741;0.00329469406498259;0.11;0.2;0.8;8759.35068773573;0.26697013544307;0.73302986455693;0.000321685146647024;0.0772951181940492;0.0976373345452708;1;27489765.5170204;1e+05;0.00363771746027024;0.990535101465843;0.897131279600259;0.905703672966904;68779.3945810299;0.765815707613577;FALSE;FALSE
