"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.12;0.1;0.9;92255.069827769;92255.069827769;71049.6870408154;1977224.38836794;0.0359340535443537;0.1;0.1;0.9;7769.8522855389;0.117300789571229;0.882699210428771;0.00392967653608217;0.0842214124388442;0.109358008587362;1;2178637.18558723;1e+05;0.0459002539117343;0.907551014665618;0.710496870408154;0.782872652806115;48844.745217192;0.44554708996922;FALSE;FALSE
0.13;0.1;0.9;90081.3732723383;90081.3732723383;69223.7444903485;1960708.80167554;0.0353054693441436;0.108333333333333;0.1;0.9;8176.8918290155;0.117644495649427;0.882355504350573;0.0041703754387331;0.0907722821264584;0.118122645476879;1;2178637.18558723;1e+05;0.0459002539117343;0.899970318438796;0.692237444903485;0.769178083677614;45621.0197339321;0.416141234712133;FALSE;FALSE
0.14;0.1;0.9;87985.5171290112;87985.5171290112;67465.2238704545;1944237.42476102;0.0347000952719275;0.116666666666667;0.1;0.9;8557.06699346493;0.117987979415076;0.882012020584924;0.00440124589954168;0.0972554037605746;0.126836709382245;1;2178637.18558723;1e+05;0.0459002539117343;0.892409914612273;0.674652238704545;0.755989179028409;42587.1775891127;0.388467438215913;FALSE;FALSE
0.15;0.1;0.9;85963.325588525;85963.325588525;65770.5240995489;1927810.72611469;0.0341166916485121;0.125;0.1;0.9;8911.96014004087;0.118331229188417;0.881668770811583;0.00462283979403001;0.103671653917848;0.135500822930222;1;2178637.18558723;1e+05;0.0459002539117343;0.884870018224289;0.657705240995489;0.743278930746617;39729.592103719;0.362401402008863;FALSE;FALSE
0.16;0.1;0.9;84010.9094835412;84010.9094835412;64136.2907199519;1911429.11466424;0.033554103695453;0.133333333333333;0.1;0.9;9243.04007423853;0.118674233428262;0.881325766571738;0.00483566981549413;0.11002190228698;0.144115600863134;1;2178637.18558723;1e+05;0.0459002539117343;0.8773508169737;0.641362907199519;0.731022180399639;37035.8457234713;0.337829856891825;FALSE;FALSE
0.17;0.1;0.9;82124.6458003902;82124.6458003902;62559.3980732524;1895092.97108875;0.0330112553988901;0.141666666666667;0.1;0.9;9551.67212193413;0.119016980901542;0.880983019098458;0.00504021294345605;0.116307011480453;0.152681650017633;1;2178637.18558723;1e+05;0.0459002539117343;0.869852485593167;0.625593980732524;0.719195485549393;34494.5568566208;0.314648983404581;FALSE;FALSE
0.18;0.1;0.9;80301.1546228532;80301.1546228532;61036.9295601922;1878802.64194293;0.0324871427139745;0.15;0.1;0.9;9839.12676240597;0.119359460638154;0.880640539361846;0.00523691341642517;0.122527836724353;0.161199569396803;1;2178637.18558723;1e+05;0.0459002539117343;0.862375183152174;0.610369295601921;0.707776971701441;32095.2880861636;0.292763574565249;FALSE;FALSE
0.19;0.1;0.9;78537.279234762;78537.279234762;59566.1605542558;1862558.44110683;0.0319808276828396;0.158333333333333;0.1;0.9;10106.5874964573;0.119701661928344;0.880298338071656;0.0054261854411674;0.128685225601551;0.169669950227055;1;2178637.18558723;1e+05;0.0459002539117343;0.854919053722473;0.595661605542558;0.696746204156918;29828.454754725;0.272086202009067;FALSE;FALSE
0.2;0.1;0.9;76830.0681390208;76830.0681390208;58144.5429600804;1846360.65118805;0.0314914331188043;0.166666666666667;0.1;0.9;10355.1579527467;0.120043574319991;0.879956425680009;0.00560841563975252;0.134780017818147;0.178093376017353;1;2178637.18558723;1e+05;0.0459002539117343;0.847484227021664;0.581445429600803;0.686084072200603;27685.2297367472;0.252536347348895;FALSE;FALSE
0.21;0.1;0.9;75176.7579817606;75176.7579817606;56769.6906038367;1830209.51734901;0.0310181375769838;0.175;0.1;0.9;10585.8682005529;0.120385187574427;0.879614812425573;0.00578396522376638;0.140813044945637;0.186470422649045;1;2178637.18558723;1e+05;0.0459002539117343;0.840070815579921;0.567696906038367;0.675772679528775;25657.5397996454;0.234040368982779;FALSE;FALSE
