"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0.74;0.3;0.7;54383.7091691826;54383.7091691826;32663.0417520658;2060633.61516881;0.0158509700665006;0.616666666666667;0.3;0.7;21635.6157309098;0.383731630901269;0.616268369098731;0.0104994966459078;0.397832660946376;0.662388270361912;1;2178637.18558723;1e+05;0.0459002539117343;0.945836061553032;0.326630417520658;0.345335128145084;7980.88058100885;0.0702426542354346;FALSE;FALSE
0.75;0.3;0.7;54046.9132146648;54046.9132146648;32353.0856937281;2059046.86923117;0.0157126514103142;0.625;0.3;0.7;21702.1230690848;0.384398816691557;0.615601183308443;0.010539887844898;0.401542322738911;0.670789898513203;1;2178637.18558723;1e+05;0.0459002539117343;0.945107741138721;0.323530856937281;0.342321666466801;7762.94797356752;0.0683245495055436;FALSE;FALSE
0.76;0.3;0.7;53715.8428860821;53715.8428860821;32048.5791223818;2057460.57945919;0.0155767646011501;0.633333333333333;0.3;0.7;21766.8143021979;0.385064250164787;0.614935749835213;0.0105794563062391;0.405221497656844;0.67918188257515;1;2178637.18558723;1e+05;0.0459002539117343;0.944379630105608;0.320485791223817;0.339361185912045;7551.3310069821;0.0664620310449138;FALSE;FALSE
0.77;0.3;0.7;53390.3464543209;53390.3464543209;31749.3794129501;2055874.74478832;0.0154432459922159;0.641666666666667;0.3;0.7;21829.7420605894;0.38572793294133;0.61427206705867;0.0106182257046195;0.408870582611151;0.687564370208931;1;2178637.18558723;1e+05;0.0459002539117343;0.943651727965055;0.317493794129501;0.336452299848126;7345.79840845683;0.0646530633369299;FALSE;FALSE
0.78;0.3;0.7;53070.2774282119;53070.2774282119;31455.3488358066;2054289.36394527;0.0153120341213258;0.65;0.3;0.7;21890.9570473266;0.386389866868781;0.613610133131219;0.0106562188518977;0.412489968173587;0.695937506895724;1;2178637.18558723;1e+05;0.0459002539117343;0.942924034132629;0.314553488358066;0.333593669237008;7146.12906983911;0.0628957003277254;FALSE;FALSE
0.79;0.3;0.7;52755.4943337099;52755.4943337099;31166.354350681;2052704.43546027;0.0151830696189306;0.658333333333333;0.3;0.7;21950.5081229085;0.387050054016385;0.612949945983615;0.0106934577349353;0.416080038679166;0.704301435962751;1;2178637.18558723;1e+05;0.0459002539117343;0.942196547933694;0.31166354350681;0.330784000631621;6952.11152779552;0.0611880808510218;FALSE;FALSE
0.8;0.3;0.7;52445.8605040459;52445.8605040459;30882.2674108032;2051119.9576787;0.0150562951207171;0.666666666666667;0.3;0.7;22008.4423856402;0.387708496669574;0.612291503330426;0.0107299635514968;0.419641172327458;0.712656298609123;1;2178637.18558723;1e+05;0.0459002539117343;0.941469268608779;0.308822674108032;0.328022044271698;6763.54347430134;0.0595284243197664;FALSE;FALSE
0.81;0.3;0.7;52141.2438802239;52141.2438802239;30602.9637767011;2049535.92877235;0.0149316551845139;0.675;0.3;0.7;22064.805247926;0.388365197324611;0.611634802675389;0.0107657567443292;0.423173741282662;0.721002233931492;1;2178637.18558723;1e+05;0.0459002539117343;0.940742195318729;0.306029637767011;0.325306592273483;6580.23129542535;0.0579150266668094;FALSE;FALSE
0.82;0.3;0.7;51841.5168212758;51841.5168212758;30328.323339103;2047952.34675015;0.0148090962112621;0.683333333333333;0.3;0.7;22119.6405087212;0.389020158683338;0.610979841316662;0.0108008570335254;0.426678111772442;0.729339378949508;1;2178637.18558723;1e+05;0.0459002539117343;0.94001532714964;0.30328323339103;0.322636476907946;6401.98963659163;0.0563462565186129;FALSE;FALSE
0.83;0.3;0.7;51546.5559237263;51546.5559237263;30058.2299504343;2046369.20946853;0.0146885663698199;0.691666666666667;0.3;0.7;22172.9904223595;0.389673383648028;0.610326616351972;0.010835283447271;0.43015464418552;0.73766786863107;1;2178637.18558723;1e+05;0.0459002539117343;0.939288663117605;0.300582299504343;0.320010568962556;6228.6409925984;0.0548205515868573;FALSE;FALSE
