"fprop_s1";"fprop_s2";"refpt";"fbar";"yield";"pY_s1";"pY_s2";"ssb";"ratioB";"ratioSPR";"ratioR";"hr_b1plus";"hr_ssb"
0.2;0.8;"f0.1";1.54;46495.9706169587;0.389181141990382;0.610818858009618;43354.5101013724;0.433545101013724;0.449279959318898;0.964977609219365;0.7066049698797;1.07245983193538
0.2;0.8;"spr.20";4;55235.8691827184;0.59712881750867;0.40287118249133;22750.6594419888;0.227506594419888;0.248964744574891;0.913810486735208;1.00683453451632;2.4278799180992
0.2;0.8;"spr.30";3.13;54010.8992027641;0.528514234947217;0.471485765052783;27995.5082715537;0.279955082715537;0.299956330417883;0.933319467955614;0.948555301918562;1.92927017716069
0.2;0.8;"spr.35";2.46;52049.3287507605;0.471291191801926;0.528708808198075;33150.2320043828;0.331502320043828;0.350071700042611;0.946955495127077;0.87723489971769;1.57010450918953
0.2;0.8;"spr.40";1.94;49493.0264684408;0.425124792523466;0.574875207476534;38280.1594251487;0.382801594251487;0.399945994411168;0.957133211985478;0.79465279001693;1.29291589198361
0.2;0.8;"spr.50";1.22;43046.9257438674;0.360541447577145;0.639458552422855;48564.858039172;0.48564858039172;0.499936119825284;0.97142126990433;0.61515728544324;0.886380141565452
0.2;0.8;"F.20B0";4;55235.8691827184;0.59712881750867;0.40287118249133;22750.6594419888;0.227506594419888;0.248964744574891;0.913810486735208;1.00683453451632;2.4278799180992
0.2;0.8;"F.30B0";2.85;53329.4530818457;0.504993664260366;0.495006335739634;29998.6629044532;0.299986629044532;0.319431444904406;0.939126794903697;0.922463155489051;1.77772766911985
0.2;0.8;"F.35B0";2.26;51202.8708203275;0.453664348051966;0.546335651948034;34973.8198477887;0.349738198477887;0.367801026297945;0.950889675317473;0.848974999775131;1.46403427029618
0.2;0.8;"F.40B0";1.79;48501.7373462726;0.411658248155124;0.588341751844876;40037.7579933378;0.400377579933378;0.417033758268562;0.960060359611325;0.764585281183121;1.21139993289193
0.2;0.8;"F.50B0";1.14;41976.5536812547;0.353437332024383;0.646562667975617;50094.5305403963;0.500945305403963;0.514807935809408;0.973072228609588;0.588761718472269;0.837946842268633
0.2;0.8;"F.50R0";4;55235.8691827184;0.59712881750867;0.40287118249133;22750.6594419888;0.227506594419888;0.248964744574891;0.913810486735208;1.00683453451632;2.4278799180992
0.2;0.8;"F.90msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.3;0.7;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.3;0.7;"msy";3.53;53908.3317073631;0.71404192769598;0.28595807230402;17012.9320550377;0.170129320550377;0.193181283868422;0.88067185983842;1.01256057506113;3.16866790115701
0.3;0.7;"f0.1";1.47;46816.2640083407;0.524062059971021;0.475937940028979;37929.6393262952;0.379296393262952;0.396538160116758;0.956519274592059;0.710312086503955;1.234292359218
0.3;0.7;"spr.20";3.42;53894.4886410763;0.705432550579349;0.294567449420651;17713.5667706943;0.177135667706943;0.199993010270639;0.885709292875963;1.00437498511556;3.04255429404768
0.3;0.7;"spr.30";2.2;51504.7277095154;0.597491047874579;0.402508952125421;27968.6465464159;0.279686465464159;0.299695174756822;0.933236464988474;0.866505318500189;1.84151662913111
0.3;0.7;"spr.35";1.78;49274.8161406466;0.555812248435339;0.444187751564661;33146.1814121377;0.331461814121377;0.350032319284672;0.94694631283978;0.786658007712135;1.48659103526787
0.3;0.7;"spr.40";1.45;46626.2221545812;0.521993073536379;0.478006926463621;38275.2578087216;0.382752578087216;0.399898339807016;0.957124698922046;0.704772789380926;1.21818179220616
0.3;0.7;"spr.50";0.97;40396.124820886;0.471981951967769;0.528018048032231;48512.2308600744;0.485122308600744;0.499424466695168;0.971362720394807;0.544514020539024;0.832699797653132
0.3;0.7;"F.20B0";3.09;53682.1518785816;0.678442669347401;0.321557330652599;19996.0955976645;0.199960955976645;0.222184262755071;0.89997803398468;0.976601167688892;2.68463168804072
0.3;0.7;"F.30B0";2.02;50675.0226207127;0.579852668312356;0.420147331687644;30038.1412145046;0.300381412145046;0.319815261807684;0.939234139256544;0.835146904655936;1.6870225843483
0.3;0.7;"F.35B0";1.65;48346.1924978138;0.542579151630912;0.457420848369088;35031.321307505;0.35031321307505;0.368360068267409;0.951007569096065;0.756708784456215;1.38008475539449
