"MP","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"mp0046","int","2o3",0,0.5,0.5,"nin","none"
"mp0047","iny","1o5",0,0.5,0.5,"nin","none"
"mp0048","fpa","1o5",0,0.5,0.5,"nin","none"
"mp0049","int","1o5",0,0.5,0.5,"nin","none"
"mp0050","iny","1o2",0,0.5,1,"nin","none"
"mp0051","fpa","1o2",0,0.5,1,"nin","none"
"mp0052","int","1o2",0,0.5,1,"nin","none"
"mp0053","iny","1o3",0,0.5,1,"nin","none"
"mp0054","fpa","1o3",0,0.5,1,"nin","none"
"mp0055","int","1o3",0,0.5,1,"nin","none"
"mp0056","iny","2o3",0,0.5,1,"nin","none"
"mp0057","fpa","2o3",0,0.5,1,"nin","none"
"mp0058","int","2o3",0,0.5,1,"nin","none"
"mp0059","iny","1o5",0,0.5,1,"nin","none"
"mp0060","fpa","1o5",0,0.5,1,"nin","none"
"mp0061","int","1o5",0,0.5,1,"nin","none"
"mp0062","iny","1o2",0,0.5,1.5,"nin","none"
"mp0063","fpa","1o2",0,0.5,1.5,"nin","none"
"mp0064","int","1o2",0,0.5,1.5,"nin","none"
"mp0065","iny","1o3",0,0.5,1.5,"nin","none"
"mp0066","fpa","1o3",0,0.5,1.5,"nin","none"
"mp0067","int","1o3",0,0.5,1.5,"nin","none"
"mp0068","iny","2o3",0,0.5,1.5,"nin","none"
"mp0069","fpa","2o3",0,0.5,1.5,"nin","none"
"mp0070","int","2o3",0,0.5,1.5,"nin","none"
"mp0071","iny","1o5",0,0.5,1.5,"nin","none"
"mp0072","fpa","1o5",0,0.5,1.5,"nin","none"
"mp0073","int","1o5",0,0.5,1.5,"nin","none"
"mp0074","iny","1o2",0,0.8,0.8,"nin","none"
"mp0075","fpa","1o2",0,0.8,0.8,"nin","none"
"mp0076","int","1o2",0,0.8,0.8,"nin","none"
"mp0077","iny","1o3",0,0.8,0.8,"nin","none"
"mp0078","fpa","1o3",0,0.8,0.8,"nin","none"
"mp0079","int","1o3",0,0.8,0.8,"nin","none"
"mp0080","iny","2o3",0,0.8,0.8,"nin","none"
"mp0081","fpa","2o3",0,0.8,0.8,"nin","none"
"mp0082","int","2o3",0,0.8,0.8,"nin","none"
"mp0083","iny","1o5",0,0.8,0.8,"nin","none"
"mp0084","fpa","1o5",0,0.8,0.8,"nin","none"
"mp0085","int","1o5",0,0.8,0.8,"nin","none"
"mp0086","iny","1o2",0,0.8,2.75,"nin","none"
"mp0087","fpa","1o2",0,0.8,2.75,"nin","none"
"mp0088","int","1o2",0,0.8,2.75,"nin","none"
"mp0089","iny","1o3",0,0.8,2.75,"nin","none"
"mp0090","fpa","1o3",0,0.8,2.75,"nin","none"
"mp0091","int","1o3",0,0.8,2.75,"nin","none"
"mp0092","iny","2o3",0,0.8,2.75,"nin","none"
"mp0093","fpa","2o3",0,0.8,2.75,"nin","none"
"mp0094","int","2o3",0,0.8,2.75,"nin","none"
"mp0095","iny","1o5",0,0.8,2.75,"nin","none"
"mp0096","fpa","1o5",0,0.8,2.75,"nin","none"
"mp0097","int","1o5",0,0.8,2.75,"nin","none"
