"SCENARIO","OM","MP","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"sc000953","om005","mp0181","STK2","bc",0.75,"flow",0.1,"b1p","low","int","2o3",0,0.2,0.2,"nin","Inorm"
"sc000954","om005","mp0182","STK2","bc",0.75,"flow",0.1,"b1p","low","iny","1o2",0,0.8,0.8,"nin","Inorm"
"sc000955","om005","mp0183","STK2","bc",0.75,"flow",0.1,"b1p","low","fpa","1o2",0,0.8,0.8,"nin","Inorm"
"sc000956","om005","mp0184","STK2","bc",0.75,"flow",0.1,"b1p","low","int","1o2",0,0.8,0.8,"nin","Inorm"
"sc000957","om005","mp0185","STK2","bc",0.75,"flow",0.1,"b1p","low","iny","2o3",0,0.8,0.8,"nin","Inorm"
"sc000958","om005","mp0186","STK2","bc",0.75,"flow",0.1,"b1p","low","fpa","2o3",0,0.8,0.8,"nin","Inorm"
"sc000959","om005","mp0187","STK2","bc",0.75,"flow",0.1,"b1p","low","int","2o3",0,0.8,0.8,"nin","Inorm"
"sc000960","om005","mp0188","STK2","bc",0.75,"flow",0.1,"b1p","low","iny","1o2",0,0.8,4,"nin","Inorm"
"sc000961","om005","mp0189","STK2","bc",0.75,"flow",0.1,"b1p","low","fpa","1o2",0,0.8,4,"nin","Inorm"
"sc000962","om005","mp0190","STK2","bc",0.75,"flow",0.1,"b1p","low","int","1o2",0,0.8,4,"nin","Inorm"
"sc000963","om005","mp0191","STK2","bc",0.75,"flow",0.1,"b1p","low","iny","2o3",0,0.8,4,"nin","Inorm"
"sc000964","om005","mp0192","STK2","bc",0.75,"flow",0.1,"b1p","low","fpa","2o3",0,0.8,4,"nin","Inorm"
"sc000965","om005","mp0193","STK2","bc",0.75,"flow",0.1,"b1p","low","int","2o3",0,0.8,4,"nin","Inorm"
"sc000966","om006","mp0001","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fix","ft0",0,0,0,"fix","none"
"sc000967","om006","mp0002","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o2",0,0,0,"nin","none"
"sc000968","om006","mp0003","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o2",0,0,0,"nin","none"
"sc000969","om006","mp0004","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o2",0,0,0,"nin","none"
"sc000970","om006","mp0005","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","1o3",0,0,0,"nin","none"
"sc000971","om006","mp0006","STK2","bc",0.75,"fhigh",0.1,"b1p","low","fpa","1o3",0,0,0,"nin","none"
"sc000972","om006","mp0007","STK2","bc",0.75,"fhigh",0.1,"b1p","low","int","1o3",0,0,0,"nin","none"
"sc000973","om006","mp0008","STK2","bc",0.75,"fhigh",0.1,"b1p","low","iny","2o3",0,0,0,"nin","none"
